datetime,open,high,low,close,atr,upperband,lowerband,signals,SMA_5,SMA_7,SMA_21,5_21_SMA_Trend
2025-04-16 11:45,23333.3,23336.0,23331.1,23335.3,6.704768441438831,23338.66882374704,23313.966432596717,1,23328.84,23326.649999999998,23328.06666666667,UP
2025-04-16 11:46,23334.35,23338.0,23333.6,23338.0,6.540139851095772,23338.66882374704,23316.17958044671,1,23332.829999999998,23329.014285714286,23328.397619047617,UP
2025-04-16 11:47,23337.6,23338.3,23334.3,23336.1,6.358698964016247,23338.66882374704,23317.22390310795,1,23334.890000000003,23331.185714285715,23328.640476190478,UP
2025-04-16 11:48,23336.85,23338.6,23332.85,23334.85,6.315219948952102,23338.66882374704,23317.22390310795,1,23335.64,23333.58571428571,23328.707142857143,UP
2025-04-16 11:49,23335.0,23340.05,23331.9,23339.15,6.446277115720963,23338.66882374704,23317.22390310795,1,23336.68,23335.492857142857,23328.904761904763,UP
2025-04-16 11:50,23339.05,23339.65,23331.8,23334.55,6.546544065302844,23355.364632195902,23317.22390310795,1,23336.53,23335.985714285714,23329.428571428572,UP
2025-04-16 11:51,23335.0,23338.35,23332.6,23333.95,6.489647518293775,23354.94394255488,23317.22390310795,1,23335.72,23335.985714285714,23329.759523809524,UP
2025-04-16 11:52,23335.0,23336.2,23329.95,23335.15,6.472529686901407,23352.492589060705,23317.22390310795,1,23335.53,23335.964285714286,23330.069047619047,UP
2025-04-16 11:53,23335.0,23335.7,23329.1,23331.1,6.481634784100722,23351.844904352303,23317.22390310795,1,23334.78,23334.97857142857,23330.2,UP
2025-04-16 11:54,23330.7,23334.55,23328.1,23332.35,6.47937513941952,23350.763125418256,23317.22390310795,1,23333.420000000002,23334.442857142854,23330.566666666666,UP
2025-04-16 11:55,23332.3,23339.25,23332.1,23339.15,6.52727725464846,23350.763125418256,23317.22390310795,1,23334.340000000004,23335.057142857146,23331.171428571426,UP
2025-04-16 11:56,23337.9,23340.85,23335.65,23337.8,6.432471112577082,23350.763125418256,23318.952586662268,1,23335.109999999997,23334.864285714284,23331.79761904762,UP
2025-04-16 11:57,23337.5,23339.7,23336.1,23339.7,6.230150511100186,23350.763125418256,23319.2095484667,1,23336.02,23335.600000000002,23332.135714285716,UP
2025-04-16 11:58,23339.6,23341.35,23334.65,23336.75,6.263711379306094,23350.763125418256,23319.2095484667,1,23337.15,23336.0,23332.290476190476,UP
2025-04-16 11:59,23335.25,23336.0,23325.4,23327.7,6.627019623554974,23350.581058870663,23319.2095484667,1,23336.22,23334.93571428571,23332.51666666667,UP
2025-04-16 12:00,23326.95,23331.3,23325.0,23330.1,6.6036609647339874,23347.960982894205,23319.2095484667,1,23334.41,23334.792857142857,23332.928571428572,UP
2025-04-16 12:01,23330.2,23334.3,23328.05,23332.85,6.57839935248953,23347.960982894205,23319.2095484667,1,23333.420000000002,23334.864285714288,23333.497619047615,DOWN
2025-04-16 12:02,23332.5,23338.0,23330.2,23338.0,6.665656909693224,23347.960982894205,23319.2095484667,1,23333.079999999998,23334.7,23334.447619047616,DOWN
2025-04-16 12:03,23337.7,23342.65,23335.8,23342.65,6.678824324865817,23347.960982894205,23319.2095484667,1,23334.26,23335.39285714286,23335.25,DOWN
2025-04-16 12:04,23341.65,23344.45,23337.55,23343.4,6.694622644839976,23347.960982894205,23320.91613206548,1,23337.4,23335.921428571426,23335.835714285717,UP
2025-04-16 12:05,23343.45,23343.45,23338.3,23343.0,6.5842920832742005,23347.960982894205,23321.122123750178,1,23339.980000000003,23336.814285714285,23336.26666666667,UP
2025-04-16 12:06,23340.95,23344.45,23337.55,23337.65,6.606842719480531,23347.960982894205,23321.17947184156,1,23340.94,23338.235714285718,23336.378571428573,UP
2025-04-16 12:07,23337.45,23337.45,23332.15,23335.0,6.527782294985122,23347.960982894205,23321.17947184156,1,23340.34,23338.935714285715,23336.23571428571,UP
2025-04-16 12:08,23335.7,23342.6,23334.25,23341.55,6.657941054470288,23347.960982894205,23321.17947184156,1,23340.120000000003,23340.178571428572,23336.495238095238,UP
2025-04-16 12:09,23341.45,23343.5,23339.75,23342.9,6.4502304575675975,23347.960982894205,23322.274308627297,1,23340.02,23340.87857142857,23336.878571428573,UP
2025-04-16 12:10,23343.05,23345.4,23339.65,23342.45,6.400213879687037,23347.960982894205,23323.32435836094,1,23339.91,23340.850000000002,23337.035714285714,UP
2025-04-16 12:11,23342.15,23343.35,23339.2,23342.65,6.239483968841526,23347.960982894205,23323.32435836094,1,23340.91,23340.742857142857,23337.42142857143,UP
2025-04-16 12:12,23342.2,23347.05,23341.55,23347.05,6.1866635791557485,23347.960982894205,23325.74000926253,1,23343.32,23341.321428571428,23338.045238095237,UP
2025-04-16 12:13,23347.3,23349.6,23343.35,23345.7,6.191187617662083,23347.960982894205,23327.90143714701,1,23344.15,23342.471428571425,23338.547619047622,UP
2025-04-16 12:14,23345.35,23346.55,23336.2,23341.2,6.488246159943955,23347.960982894205,23327.90143714701,1,23343.810000000005,23343.35714285714,23339.02857142857,UP
2025-04-16 12:15,23341.1,23341.5,23335.9,23341.1,6.424799903529868,23347.960982894205,23327.90143714701,1,23343.54,23343.292857142857,23339.44523809524,UP
2025-04-16 12:16,23340.15,23342.6,23337.6,23340.4,6.323028329724791,23347.960982894205,23327.90143714701,1,23343.090000000004,23342.935714285715,23339.504761904762,UP
2025-04-16 12:17,23340.35,23347.9,23337.1,23346.95,6.642812464317441,23347.960982894205,23327.90143714701,1,23343.07,23343.57857142857,23339.940476190477,UP
2025-04-16 12:18,23346.85,23348.95,23338.4,23346.35,6.921897647994123,23347.960982894205,23327.90143714701,1,23343.2,23344.10714285714,23340.257142857143,UP
2025-04-16 12:19,23345.9,23346.85,23343.7,23345.45,6.652476064981673,23347.960982894205,23327.90143714701,1,23344.05,23343.878571428573,23340.671428571426,UP
2025-04-16 12:20,23345.5,23346.35,23341.45,23343.25,6.527299064087187,23347.960982894205,23327.90143714701,1,23344.48,23343.528571428575,23341.411904761902,UP
2025-04-16 12:21,23342.3,23346.25,23340.6,23346.15,6.464634780558966,23347.960982894205,23327.90143714701,1,23345.63,23344.235714285714,23342.17619047619,UP
2025-04-16 12:22,23345.8,23348.25,23344.25,23345.6,6.2885892704005375,23347.960982894205,23327.90143714701,1,23345.359999999997,23344.87857142857,23342.783333333333,UP
2025-04-16 12:23,23345.15,23348.65,23344.65,23348.6,6.125118462777058,23347.960982894205,23328.27464461167,1,23345.81,23346.049999999996,23343.2880952381,UP
2025-04-16 12:24,23347.75,23354.25,23346.2,23352.65,6.262610114748202,23369.012830344243,23331.437169655757,1,23347.25,23346.864285714288,23343.764285714286,UP
2025-04-16 12:25,23353.1,23355.3,23350.7,23354.95,6.143852158297507,23369.012830344243,23334.568443525102,1,23349.590000000004,23348.092857142856,23344.314285714285,UP
2025-04-16 12:26,23354.55,23356.0,23349.9,23351.0,6.140719859044696,23369.012830344243,23334.568443525102,1,23350.56,23348.885714285712,23344.695238095235,UP
2025-04-16 12:27,23350.45,23353.55,23349.4,23352.85,5.998525489334544,23369.012830344243,23334.568443525102,1,23352.010000000002,23350.257142857143,23345.41904761905,UP
2025-04-16 12:28,23351.9,23354.5,23350.5,23351.25,5.855773580980221,23369.012830344243,23334.93267925706,1,23352.54,23350.985714285714,23346.192857142858,UP
2025-04-16 12:29,23351.15,23352.3,23345.65,23348.6,5.912504071839947,23366.71251221552,23334.93267925706,1,23351.73,23351.414285714283,23346.52857142857,UP
2025-04-16 12:30,23348.4,23350.1,23346.15,23349.9,5.772325135320065,23365.44197540596,23334.93267925706,1,23350.719999999998,23351.6,23346.861904761907,UP
2025-04-16 12:31,23350.0,23351.9,23347.25,23349.35,5.692159014798952,23365.44197540596,23334.93267925706,1,23350.39,23351.12857142857,23347.190476190477,UP
2025-04-16 12:32,23348.35,23349.25,23341.95,23344.65,5.814147712309359,23363.04244313693,23334.93267925706,1,23348.75,23349.657142857144,23347.285714285714,UP
2025-04-16 12:33,23344.45,23349.6,23342.75,23348.15,5.888137192806384,23363.04244313693,23334.93267925706,1,23348.13,23349.25,23347.338095238094,UP
2025-04-16 12:34,23348.45,23352.7,23346.55,23352.65,5.906841686399963,23363.04244313693,23334.93267925706,1,23348.94,23349.221428571433,23347.66904761905,UP
2025-04-16 12:35,23351.5,23356.2,23350.25,23356.2,5.909924424212928,23363.04244313693,23335.49522672736,1,23350.2,23349.928571428572,23348.383333333335,UP
2025-04-16 12:36,23355.6,23356.8,23349.0,23355.6,6.044929868321831,23363.04244313693,23335.49522672736,1,23351.45,23350.928571428572,23349.07380952381,UP
2025-04-16 12:37,23355.55,23358.55,23352.75,23358.5,6.027434872211571,23363.04244313693,23337.567695383368,1,23354.22,23352.157142857144,23349.935714285715,UP
2025-04-16 12:38,23357.95,23358.05,23351.15,23352.85,6.121903837567218,23363.04244313693,23337.567695383368,1,23355.159999999996,23352.657142857144,23350.216666666667,UP
2025-04-16 12:39,23351.85,23355.4,23350.15,23353.75,6.059624975096379,23363.04244313693,23337.567695383368,1,23355.379999999997,23353.957142857143,23350.569047619047,UP
2025-04-16 12:40,23352.7,23357.2,23351.95,23357.15,6.001794605134267,23363.04244313693,23337.567695383368,1,23355.57,23355.242857142857,23351.126190476192,UP
2025-04-16 12:41,23356.9,23357.95,23351.8,23357.45,6.012380707249007,23363.04244313693,23337.567695383368,1,23355.94,23355.928571428572,23351.802380952384,UP
2025-04-16 12:42,23357.45,23361.55,23354.55,23361.55,6.082924957799882,23363.04244313693,23339.8012251266,1,23356.55,23356.692857142858,23352.535714285714,UP
2025-04-16 12:43,23359.6,23362.05,23356.3,23360.45,6.0591445988650925,23363.04244313693,23340.997566203405,1,23358.07,23357.385714285716,23353.242857142857,UP
2025-04-16 12:44,23359.6,23361.2,23354.3,23357.3,6.119205710218094,23363.04244313693,23340.997566203405,1,23358.780000000002,23357.214285714286,23353.65714285714,UP
2025-04-16 12:45,23357.15,23357.8,23353.1,23356.25,6.017833856108173,23363.04244313693,23340.997566203405,1,23358.6,23357.7,23353.828571428574,UP
2025-04-16 12:46,23355.9,23357.2,23351.6,23353.25,5.987988575842472,23363.04244313693,23340.997566203405,1,23357.760000000002,23357.62857142857,23353.74761904762,UP
2025-04-16 12:47,23353.15,23353.85,23349.2,23351.5,5.892417948921573,23363.04244313693,23340.997566203405,1,23355.75,23356.821428571428,23353.77142857143,UP
2025-04-16 12:48,23351.35,23353.95,23349.1,23352.5,5.817959513609698,23363.04244313693,23340.997566203405,1,23354.16,23356.114285714284,23353.754761904762,UP
2025-04-16 12:49,23352.25,23352.8,23349.1,23350.4,5.666676671608545,23363.04244313693,23340.997566203405,1,23352.78,23354.52142857143,23353.714285714286,DOWN
2025-04-16 12:50,23349.95,23351.0,23346.8,23349.2,5.561914039604245,23363.04244313693,23340.997566203405,1,23351.370000000003,23352.914285714283,23353.742857142857,DOWN
2025-04-16 12:51,23349.15,23352.0,23347.0,23350.05,5.521777318005814,23363.04244313693,23340.997566203405,1,23350.73,23351.87857142857,23353.75,DOWN
2025-04-16 12:52,23349.85,23352.9,23348.95,23351.95,5.409507497930612,23363.04244313693,23340.997566203405,1,23350.82,23351.264285714286,23353.873809523808,DOWN
2025-04-16 12:53,23352.0,23353.5,23347.5,23353.3,5.451685537855511,23363.04244313693,23340.997566203405,1,23350.98,23351.27142857143,23354.285714285714,DOWN
2025-04-16 12:54,23352.95,23354.05,23346.9,23349.95,5.572993724573186,23363.04244313693,23340.997566203405,1,23350.890000000003,23351.05,23354.371428571427,DOWN
2025-04-16 12:55,23349.7,23352.35,23347.3,23351.45,5.535637026858074,23363.04244313693,23340.997566203405,1,23351.34,23350.899999999998,23354.314285714285,DOWN
2025-04-16 12:56,23350.8,23354.1,23347.7,23349.25,5.597377243986801,23363.04244313693,23340.997566203405,1,23351.18,23350.735714285718,23353.98333333333,DOWN
2025-04-16 12:57,23349.15,23350.25,23346.8,23350.2,5.443993144146145,23363.04244313693,23340.997566203405,1,23350.829999999998,23350.87857142857,23353.72619047619,DOWN
2025-04-16 12:58,23349.9,23351.35,23344.15,23346.8,5.569422213619272,23363.04244313693,23340.997566203405,1,23349.530000000002,23350.41428571429,23353.16904761905,DOWN
2025-04-16 12:59,23346.3,23346.7,23340.7,23343.45,5.607320629272271,23360.521961887815,23340.997566203405,1,23348.23,23349.2,23352.72142857143,DOWN
2025-04-16 13:00,23342.95,23346.0,23340.65,23345.0,5.588940583270264,23360.09182174981,23340.997566203405,1,23346.94,23348.014285714286,23352.304761904765,DOWN
2025-04-16 13:01,23344.2,23345.6,23342.2,23345.5,5.43258767614041,23360.09182174981,23340.997566203405,1,23346.19,23347.37857142857,23351.75,DOWN
2025-04-16 13:02,23345.2,23347.35,23342.55,23344.15,5.387402839896399,23360.09182174981,23340.997566203405,1,23344.980000000003,23346.335714285717,23351.11666666667,DOWN
2025-04-16 13:03,23343.4,23344.8,23341.3,23342.7,5.252588345143252,23358.807765035428,23340.997566203405,1,23344.16,23345.399999999998,23350.219047619048,DOWN
2025-04-16 13:04,23343.0,23346.65,23339.7,23345.95,5.373832039944454,23358.807765035428,23340.997566203405,1,23344.66,23344.79285714286,23349.52857142857,DOWN
